SO Duration
1
2
1
12
1
1
3
1
1
1
1
1
1
2
0.5
2
3
3
3
12
1
2
2
3
2
5
4
5
0.5
1
4
3
1
5
5
1
2
5
0.75
3
1
1
3
1
3
1
4
0.5
1
1
1
3
3
1
3
1
1
1
1
3
2
2
2
3
2
